Date,Close
1/2/2020 16:00:00,840
1/3/2020 16:00:00,850
1/6/2020 16:00:00,885
1/7/2020 16:00:00,875
1/8/2020 16:00:00,905
1/9/2020 16:00:00,880
1/10/2020 16:00:00,885
1/13/2020 16:00:00,870
1/14/2020 16:00:00,850
1/15/2020 16:00:00,835
1/16/2020 16:00:00,845
1/17/2020 16:00:00,840
1/20/2020 16:00:00,795
1/21/2020 16:00:00,795
1/22/2020 16:00:00,770
1/23/2020 16:00:00,780
1/24/2020 16:00:00,785
1/27/2020 16:00:00,750
1/28/2020 16:00:00,750
1/29/2020 16:00:00,750
1/30/2020 16:00:00,740
1/31/2020 16:00:00,720
2/3/2020 16:00:00,715
2/4/2020 16:00:00,730
2/5/2020 16:00:00,725
2/6/2020 16:00:00,735
2/7/2020 16:00:00,730
2/10/2020 16:00:00,720
2/11/2020 16:00:00,720
2/12/2020 16:00:00,715
2/13/2020 16:00:00,680
2/14/2020 16:00:00,675
2/17/2020 16:00:00,680
2/18/2020 16:00:00,690
2/19/2020 16:00:00,705
2/20/2020 16:00:00,710
2/21/2020 16:00:00,700
2/24/2020 16:00:00,685
2/25/2020 16:00:00,660
2/26/2020 16:00:00,630
2/27/2020 16:00:00,600
2/28/2020 16:00:00,575
3/2/2020 16:00:00,585
3/3/2020 16:00:00,615
3/4/2020 16:00:00,630
3/5/2020 16:00:00,630
3/6/2020 16:00:00,610
3/9/2020 16:00:00,555
3/10/2020 16:00:00,575
3/11/2020 16:00:00,540
3/12/2020 16:00:00,490
3/13/2020 16:00:00,478
3/16/2020 16:00:00,446
3/17/2020 16:00:00,416
3/18/2020 16:00:00,388
3/19/2020 16:00:00,362
3/20/2020 16:00:00,374
3/23/2020 16:00:00,348
3/24/2020 16:00:00,364
3/26/2020 16:00:00,416
3/27/2020 16:00:00,460
3/30/2020 16:00:00,432
3/31/2020 16:00:00,450
4/1/2020 16:00:00,436
4/2/2020 16:00:00,452
4/3/2020 16:00:00,464
4/6/2020 16:00:00,540
4/7/2020 16:00:00,555
4/8/2020 16:00:00,520
4/9/2020 16:00:00,520
4/13/2020 16:00:00,535
4/14/2020 16:00:00,555
4/15/2020 16:00:00,525
4/16/2020 16:00:00,505
4/17/2020 16:00:00,520
4/20/2020 16:00:00,500
4/21/2020 16:00:00,482
4/22/2020 16:00:00,492
4/23/2020 16:00:00,498
4/24/2020 16:00:00,494
4/27/2020 16:00:00,505
4/28/2020 16:00:00,492
4/29/2020 16:00:00,498
4/30/2020 16:00:00,510
5/4/2020 16:00:00,494
5/5/2020 16:00:00,500
5/6/2020 16:00:00,500
5/8/2020 16:00:00,535
5/11/2020 16:00:00,530
5/12/2020 16:00:00,515
5/13/2020 16:00:00,535
5/14/2020 16:00:00,515
5/15/2020 16:00:00,520
5/18/2020 16:00:00,525
5/19/2020 16:00:00,525
5/20/2020 16:00:00,520
5/26/2020 16:00:00,530
5/27/2020 16:00:00,520
5/28/2020 16:00:00,525
5/29/2020 16:00:00,535
6/2/2020 16:00:00,555
6/3/2020 16:00:00,555
6/4/2020 16:00:00,570
6/5/2020 16:00:00,590
6/8/2020 16:00:00,630
6/9/2020 16:00:00,610
6/10/2020 16:00:00,595
6/11/2020 16:00:00,580
6/12/2020 16:00:00,580
6/15/2020 16:00:00,565
6/16/2020 16:00:00,610
6/17/2020 16:00:00,635
6/18/2020 16:00:00,620
6/19/2020 16:00:00,610
6/22/2020 16:00:00,605
6/23/2020 16:00:00,595
6/24/2020 16:00:00,605
6/25/2020 16:00:00,600
6/26/2020 16:00:00,605
6/29/2020 16:00:00,595
6/30/2020 16:00:00,605
7/1/2020 16:00:00,600
7/2/2020 16:00:00,610
7/3/2020 16:00:00,600
7/6/2020 16:00:00,640
7/7/2020 16:00:00,650
7/8/2020 16:00:00,660
7/9/2020 16:00:00,650
7/10/2020 16:00:00,645
7/13/2020 16:00:00,675
7/14/2020 16:00:00,660
7/15/2020 16:00:00,655
7/16/2020 16:00:00,650
7/17/2020 16:00:00,660
7/20/2020 16:00:00,650
7/21/2020 16:00:00,685
7/22/2020 16:00:00,685
7/23/2020 16:00:00,690
7/24/2020 16:00:00,685
7/27/2020 16:00:00,725
7/28/2020 16:00:00,720
7/29/2020 16:00:00,730
7/30/2020 16:00:00,730
8/3/2020 16:00:00,700
8/4/2020 16:00:00,705
8/5/2020 16:00:00,750
8/6/2020 16:00:00,835
8/7/2020 16:00:00,840
8/10/2020 16:00:00,825
8/11/2020 16:00:00,800
8/12/2020 16:00:00,770
8/13/2020 16:00:00,770
8/14/2020 16:00:00,785
8/18/2020 16:00:00,805
8/19/2020 16:00:00,795
8/24/2020 16:00:00,780
8/25/2020 16:00:00,790
8/26/2020 16:00:00,785
8/27/2020 16:00:00,795
8/28/2020 16:00:00,820
8/31/2020 16:00:00,820
9/1/2020 16:00:00,840
9/2/2020 16:00:00,850
9/3/2020 16:00:00,830
9/4/2020 16:00:00,825
9/7/2020 16:00:00,825
9/8/2020 16:00:00,825
9/9/2020 16:00:00,795
9/10/2020 16:00:00,740
9/11/2020 16:00:00,775
9/14/2020 16:00:00,800
9/15/2020 16:00:00,805
9/16/2020 16:00:00,795
9/17/2020 16:00:00,775
9/18/2020 16:00:00,790
9/21/2020 16:00:00,765
9/22/2020 16:00:00,735
9/23/2020 16:00:00,750
9/24/2020 16:00:00,720
9/25/2020 16:00:00,730
9/28/2020 16:00:00,725
9/29/2020 16:00:00,715
9/30/2020 16:00:00,705
10/1/2020 16:00:00,735
