Date,Close
1/2/2020 16:00:00,200
1/3/2020 16:00:00,202
1/6/2020 16:00:00,200
1/7/2020 16:00:00,204
1/8/2020 16:00:00,200
1/9/2020 16:00:00,199
1/10/2020 16:00:00,199
1/13/2020 16:00:00,202
1/14/2020 16:00:00,202
1/15/2020 16:00:00,202
1/16/2020 16:00:00,202
1/17/2020 16:00:00,194
1/20/2020 16:00:00,193
1/21/2020 16:00:00,196
1/22/2020 16:00:00,185
1/23/2020 16:00:00,193
1/24/2020 16:00:00,192
1/27/2020 16:00:00,179
1/28/2020 16:00:00,178
1/29/2020 16:00:00,182
1/30/2020 16:00:00,171
1/31/2020 16:00:00,164
2/3/2020 16:00:00,189
2/4/2020 16:00:00,167
2/5/2020 16:00:00,167
2/6/2020 16:00:00,178
2/7/2020 16:00:00,174
2/10/2020 16:00:00,184
2/11/2020 16:00:00,188
2/12/2020 16:00:00,180
2/13/2020 16:00:00,187
2/14/2020 16:00:00,187
2/17/2020 16:00:00,185
2/18/2020 16:00:00,188
2/19/2020 16:00:00,180
2/20/2020 16:00:00,184
2/21/2020 16:00:00,176
2/24/2020 16:00:00,182
2/25/2020 16:00:00,181
2/26/2020 16:00:00,168
2/27/2020 16:00:00,175
2/28/2020 16:00:00,174
3/2/2020 16:00:00,175
3/3/2020 16:00:00,181
3/4/2020 16:00:00,183
3/5/2020 16:00:00,185
3/6/2020 16:00:00,176
3/9/2020 16:00:00,179
3/10/2020 16:00:00,186
3/11/2020 16:00:00,182
3/12/2020 16:00:00,166
3/13/2020 16:00:00,155
3/16/2020 16:00:00,172
3/17/2020 16:00:00,161
3/18/2020 16:00:00,157
3/19/2020 16:00:00,155
3/20/2020 16:00:00,165
3/23/2020 16:00:00,154
3/24/2020 16:00:00,163
3/26/2020 16:00:00,177
3/27/2020 16:00:00,166
3/30/2020 16:00:00,164
3/31/2020 16:00:00,172
4/1/2020 16:00:00,174
4/2/2020 16:00:00,171
4/3/2020 16:00:00,165
4/6/2020 16:00:00,165
4/7/2020 16:00:00,168
4/8/2020 16:00:00,166
4/9/2020 16:00:00,166
4/13/2020 16:00:00,165
4/14/2020 16:00:00,168
4/15/2020 16:00:00,178
4/16/2020 16:00:00,171
4/17/2020 16:00:00,166
4/20/2020 16:00:00,170
4/21/2020 16:00:00,170
4/22/2020 16:00:00,169
4/23/2020 16:00:00,166
4/24/2020 16:00:00,155
4/27/2020 16:00:00,148
4/28/2020 16:00:00,138
4/29/2020 16:00:00,135
4/30/2020 16:00:00,132
5/4/2020 16:00:00,128
5/5/2020 16:00:00,129
5/6/2020 16:00:00,128
5/8/2020 16:00:00,130
5/11/2020 16:00:00,127
5/12/2020 16:00:00,129
5/13/2020 16:00:00,128
5/14/2020 16:00:00,130
5/15/2020 16:00:00,127
5/18/2020 16:00:00,130
5/19/2020 16:00:00,128
5/20/2020 16:00:00,131
5/26/2020 16:00:00,125
5/27/2020 16:00:00,122
5/28/2020 16:00:00,126
5/29/2020 16:00:00,130
6/2/2020 16:00:00,132
6/3/2020 16:00:00,129
6/4/2020 16:00:00,144
6/5/2020 16:00:00,145
6/8/2020 16:00:00,150
6/9/2020 16:00:00,158
6/10/2020 16:00:00,147
6/11/2020 16:00:00,137
6/12/2020 16:00:00,155
6/15/2020 16:00:00,145
6/16/2020 16:00:00,150
6/17/2020 16:00:00,145
6/18/2020 16:00:00,137
6/19/2020 16:00:00,142
6/22/2020 16:00:00,138
6/23/2020 16:00:00,138
6/24/2020 16:00:00,132
6/25/2020 16:00:00,136
6/26/2020 16:00:00,135
6/29/2020 16:00:00,137
6/30/2020 16:00:00,138
7/1/2020 16:00:00,139
7/2/2020 16:00:00,139
7/3/2020 16:00:00,139
7/6/2020 16:00:00,141
7/7/2020 16:00:00,136
7/8/2020 16:00:00,137
7/9/2020 16:00:00,144
7/10/2020 16:00:00,145
7/13/2020 16:00:00,148
7/14/2020 16:00:00,149
7/15/2020 16:00:00,151
7/16/2020 16:00:00,157
7/17/2020 16:00:00,155
7/20/2020 16:00:00,155
7/21/2020 16:00:00,155
7/22/2020 16:00:00,157
7/23/2020 16:00:00,157
7/24/2020 16:00:00,156
7/27/2020 16:00:00,147
7/28/2020 16:00:00,156
7/29/2020 16:00:00,151
7/30/2020 16:00:00,157
8/3/2020 16:00:00,147
8/4/2020 16:00:00,149
8/5/2020 16:00:00,149
8/6/2020 16:00:00,151
8/7/2020 16:00:00,153
8/10/2020 16:00:00,152
8/11/2020 16:00:00,154
8/12/2020 16:00:00,155
8/13/2020 16:00:00,156
8/14/2020 16:00:00,156
8/18/2020 16:00:00,155
8/19/2020 16:00:00,158
8/24/2020 16:00:00,154
8/25/2020 16:00:00,157
8/26/2020 16:00:00,159
8/27/2020 16:00:00,162
8/28/2020 16:00:00,159
8/31/2020 16:00:00,157
9/1/2020 16:00:00,164
9/2/2020 16:00:00,158
9/3/2020 16:00:00,158
9/4/2020 16:00:00,194
9/7/2020 16:00:00,181
9/8/2020 16:00:00,177
9/9/2020 16:00:00,168
9/10/2020 16:00:00,157
9/11/2020 16:00:00,165
9/14/2020 16:00:00,165
9/15/2020 16:00:00,156
9/16/2020 16:00:00,150
9/17/2020 16:00:00,154
9/18/2020 16:00:00,156
9/21/2020 16:00:00,150
9/22/2020 16:00:00,157
9/23/2020 16:00:00,155
9/24/2020 16:00:00,147
9/25/2020 16:00:00,154
9/28/2020 16:00:00,153
9/29/2020 16:00:00,154
9/30/2020 16:00:00,145
10/1/2020 16:00:00,154
10/2/2020 16:00:00,153
10/5/2020 16:00:00,153
10/6/2020 16:00:00,153
10/7/2020 16:00:00,152
10/8/2020 16:00:00,152
10/9/2020 16:00:00,153
10/12/2020 16:00:00,155
10/13/2020 16:00:00,156
10/14/2020 16:00:00,156
10/15/2020 16:00:00,156
10/16/2020 16:00:00,158
10/20/2020 16:00:00,158
10/21/2020 16:00:00,156
10/22/2020 16:00:00,155
10/23/2020 16:00:00,155
10/26/2020 16:00:00,156
10/27/2020 16:00:00,156
11/2/2020 16:00:00,156
11/3/2020 16:00:00,161
11/4/2020 16:00:00,160
11/5/2020 16:00:00,158
11/6/2020 16:00:00,158
11/9/2020 16:00:00,153
11/10/2020 16:00:00,153
11/11/2020 16:00:00,148
11/12/2020 16:00:00,140
11/13/2020 16:00:00,145
11/16/2020 16:00:00,145
11/17/2020 16:00:00,147
