Date,Close
1/2/2020 16:00:00,6875
1/3/2020 16:00:00,6950
1/6/2020 16:00:00,6750
1/7/2020 16:00:00,6775
1/8/2020 16:00:00,6775
1/9/2020 16:00:00,6875
1/10/2020 16:00:00,6825
1/13/2020 16:00:00,6925
1/14/2020 16:00:00,7175
1/15/2020 16:00:00,7200
1/16/2020 16:00:00,7125
1/17/2020 16:00:00,7075
1/20/2020 16:00:00,7000
1/21/2020 16:00:00,7025
1/22/2020 16:00:00,7000
1/23/2020 16:00:00,7050
1/24/2020 16:00:00,6975
1/27/2020 16:00:00,6725
1/28/2020 16:00:00,6825
1/29/2020 16:00:00,6825
1/30/2020 16:00:00,6625
1/31/2020 16:00:00,6350
2/3/2020 16:00:00,6275
2/4/2020 16:00:00,6400
2/5/2020 16:00:00,6400
2/6/2020 16:00:00,6500
2/7/2020 16:00:00,6400
2/10/2020 16:00:00,6200
2/11/2020 16:00:00,6100
2/12/2020 16:00:00,5975
2/13/2020 16:00:00,5950
2/14/2020 16:00:00,6100
2/17/2020 16:00:00,6100
2/18/2020 16:00:00,6100
2/19/2020 16:00:00,6250
2/20/2020 16:00:00,6275
2/21/2020 16:00:00,6200
2/24/2020 16:00:00,6100
2/25/2020 16:00:00,6225
2/26/2020 16:00:00,6050
2/27/2020 16:00:00,5950
2/28/2020 16:00:00,5525
3/2/2020 16:00:00,5700
3/3/2020 16:00:00,5900
3/4/2020 16:00:00,5975
3/5/2020 16:00:00,6050
3/6/2020 16:00:00,5675
3/9/2020 16:00:00,5025
3/10/2020 16:00:00,5150
3/11/2020 16:00:00,5125
3/12/2020 16:00:00,4910
3/13/2020 16:00:00,4870
3/16/2020 16:00:00,4590
3/17/2020 16:00:00,4270
3/18/2020 16:00:00,4150
3/19/2020 16:00:00,3860
3/20/2020 16:00:00,3780
3/23/2020 16:00:00,3520
3/24/2020 16:00:00,3280
3/26/2020 16:00:00,3620
3/27/2020 16:00:00,4080
3/30/2020 16:00:00,3800
3/31/2020 16:00:00,3900
4/1/2020 16:00:00,3770
4/2/2020 16:00:00,3930
4/3/2020 16:00:00,3900
4/6/2020 16:00:00,4030
4/7/2020 16:00:00,4060
4/8/2020 16:00:00,3850
4/9/2020 16:00:00,4090
4/13/2020 16:00:00,3960
4/14/2020 16:00:00,3960
4/15/2020 16:00:00,3820
4/16/2020 16:00:00,3620
4/17/2020 16:00:00,3800
4/20/2020 16:00:00,3720
4/21/2020 16:00:00,3640
4/22/2020 16:00:00,3640
4/23/2020 16:00:00,3760
4/24/2020 16:00:00,3630
4/27/2020 16:00:00,3710
4/28/2020 16:00:00,3740
4/29/2020 16:00:00,3690
4/30/2020 16:00:00,3850
5/4/2020 16:00:00,3610
5/5/2020 16:00:00,3610
5/6/2020 16:00:00,3640
5/8/2020 16:00:00,3740
5/11/2020 16:00:00,3920
5/12/2020 16:00:00,3820
5/13/2020 16:00:00,3730
5/14/2020 16:00:00,3570
5/15/2020 16:00:00,3710
5/18/2020 16:00:00,3910
5/19/2020 16:00:00,3950
5/20/2020 16:00:00,3970
5/26/2020 16:00:00,4330
5/27/2020 16:00:00,4350
5/28/2020 16:00:00,4540
5/29/2020 16:00:00,4770
6/2/2020 16:00:00,4730
6/3/2020 16:00:00,4890
6/4/2020 16:00:00,4760
6/5/2020 16:00:00,5000
6/8/2020 16:00:00,5025
6/9/2020 16:00:00,5000
6/10/2020 16:00:00,4850
6/11/2020 16:00:00,4700
6/12/2020 16:00:00,4790
