Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,765.000000,775.000000,735.000000,760.000000,698.693848,147648500
2019-01-07,775.000000,805.000000,755.000000,790.000000,726.273804,460690400
2019-01-14,795.000000,885.000000,775.000000,850.000000,781.433899,618241000
2019-01-21,855.000000,945.000000,820.000000,930.000000,854.980591,748321200
2019-01-28,945.000000,980.000000,900.000000,960.000000,882.560547,603160200
2019-02-04,970.000000,1150.000000,970.000000,1025.000000,942.317322,1138472300
2019-02-11,1025.000000,1040.000000,935.000000,950.000000,873.367249,964391000
2019-02-18,975.000000,1090.000000,970.000000,1055.000000,969.897400,979245900
2019-02-25,1065.000000,1090.000000,980.000000,1055.000000,969.897400,698024800
2019-03-04,1060.000000,1075.000000,990.000000,990.000000,910.140625,452183600
2019-03-11,1010.000000,1025.000000,950.000000,980.000000,900.947327,401485000
2019-03-18,980.000000,985.000000,950.000000,960.000000,882.560547,234189600
2019-03-25,940.000000,945.000000,870.000000,890.000000,818.207214,306549300
2019-04-01,900.000000,950.000000,900.000000,900.000000,827.400574,280853700
2019-04-08,905.000000,915.000000,875.000000,880.000000,809.013916,199700700
2019-04-15,880.000000,910.000000,880.000000,885.000000,813.610535,99481400
2019-04-22,880.000000,890.000000,850.000000,875.000000,804.417297,221415400
2019-04-29,875.000000,885.000000,785.000000,790.000000,726.273804,275494100
2019-05-06,780.000000,780.000000,720.000000,745.000000,684.903809,272654300
2019-05-13,745.000000,750.000000,670.000000,670.000000,626.049805,301605700
2019-05-20,675.000000,755.000000,660.000000,730.000000,682.113953,312377700
2019-05-27,740.000000,760.000000,705.000000,725.000000,677.441956,203976300
2019-06-03,725.000000,725.000000,725.000000,725.000000,677.441956,0
2019-06-10,730.000000,815.000000,730.000000,790.000000,738.178101,436592900
2019-06-17,800.000000,825.000000,760.000000,800.000000,747.522156,245117100
2019-06-24,805.000000,860.000000,795.000000,845.000000,789.570251,580866400
2019-07-01,850.000000,865.000000,810.000000,810.000000,756.866150,298792300
2019-07-08,810.000000,855.000000,800.000000,845.000000,789.570251,300182700
2019-07-15,855.000000,985.000000,855.000000,940.000000,878.338562,1044834800
2019-07-22,940.000000,970.000000,885.000000,890.000000,831.618469,417588000
2019-07-29,895.000000,945.000000,880.000000,900.000000,840.962463,343629700
2019-08-05,900.000000,1080.000000,830.000000,1065.000000,995.138855,1316423900
2019-08-12,1070.000000,1150.000000,1030.000000,1120.000000,1046.531006,1015492400
2019-08-19,1130.000000,1130.000000,1015.000000,1015.000000,948.418762,507060100
2019-08-26,1020.000000,1085.000000,1015.000000,1070.000000,999.810913,581640400
2019-09-02,1120.000000,1175.000000,1075.000000,1075.000000,1004.482910,855041100
2019-09-09,1080.000000,1160.000000,1055.000000,1070.000000,999.810913,608434900
2019-09-16,1070.000000,1085.000000,1040.000000,1065.000000,995.138855,337849700
2019-09-23,1070.000000,1075.000000,985.000000,990.000000,925.058655,357994300
2019-09-30,990.000000,1000.000000,915.000000,960.000000,897.026611,347155200
2019-10-07,965.000000,1025.000000,930.000000,1015.000000,948.418762,412510100
2019-10-14,1015.000000,1020.000000,920.000000,935.000000,873.666504,364519400
2019-10-21,940.000000,985.000000,915.000000,955.000000,892.354614,401254100
2019-10-28,950.000000,950.000000,850.000000,855.000000,798.914246,626034400
2019-11-04,855.000000,870.000000,810.000000,835.000000,780.226196,433429200
2019-11-11,830.000000,840.000000,800.000000,825.000000,770.882263,232599500
2019-11-18,825.000000,845.000000,805.000000,810.000000,756.866150,162028100
2019-11-25,810.000000,820.000000,735.000000,750.000000,700.802002,211240400
2019-12-02,740.000000,815.000000,740.000000,810.000000,756.866150,286242100
2019-12-09,810.000000,855.000000,805.000000,850.000000,794.242249,343265500
2019-12-16,855.000000,870.000000,825.000000,830.000000,775.554260,261514700
2019-12-23,835.000000,850.000000,825.000000,835.000000,780.226196,130070000
2019-12-30,840.000000,850.000000,825.000000,850.000000,794.242249,104694600
2020-01-06,860.000000,920.000000,855.000000,885.000000,826.946411,621241900
2020-01-13,885.000000,890.000000,830.000000,840.000000,784.898254,308450000
2020-01-20,840.000000,850.000000,755.000000,785.000000,733.506165,430154500
2020-01-27,790.000000,790.000000,715.000000,720.000000,672.769958,337314500
2020-02-03,725.000000,740.000000,705.000000,730.000000,682.113953,178556500
2020-02-10,750.000000,750.000000,665.000000,675.000000,630.721863,171318900
2020-02-17,675.000000,720.000000,670.000000,700.000000,654.081909,287762700
2020-02-24,710.000000,715.000000,540.000000,575.000000,537.281494,501316900
2020-03-02,580.000000,650.000000,570.000000,610.000000,569.985657,415670000
2020-03-09,590.000000,590.000000,488.000000,490.000000,457.857330,365175600
2020-03-16,490.000000,490.000000,338.000000,374.000000,349.466614,297597400
2020-03-23,370.000000,505.000000,340.000000,460.000000,429.825256,805313100
2020-03-30,450.000000,472.000000,424.000000,464.000000,433.562866,444487700
2020-04-06,466.000000,590.000000,466.000000,520.000000,485.889374,676938100
2020-04-13,520.000000,565.000000,494.000000,520.000000,485.889374,439626000
2020-04-20,515.000000,520.000000,466.000000,494.000000,461.594940,420231200
2020-04-27,494.000000,525.000000,490.000000,510.000000,476.545380,212117800
2020-05-04,490.000000,540.000000,484.000000,535.000000,499.905457,327635800
2020-05-11,545.000000,555.000000,505.000000,520.000000,485.889374,378437000
2020-05-18,525.000000,545.000000,510.000000,520.000000,485.889374,149652000
2020-05-25,520.000000,540.000000,515.000000,535.000000,499.905457,206659900
2020-06-01,535.000000,600.000000,535.000000,590.000000,551.297607,687417300
2020-06-08,595.000000,650.000000,545.000000,580.000000,541.953613,593259200
2020-06-15,585.000000,645.000000,560.000000,610.000000,569.985657,499276900
2020-06-22,610.000000,625.000000,590.000000,605.000000,565.313599,187864300
2020-06-29,610.000000,615.000000,590.000000,600.000000,563.245422,150129900
2020-07-06,605.000000,675.000000,600.000000,645.000000,605.488953,594947400
2020-07-13,645.000000,685.000000,645.000000,660.000000,619.570068,305331700
2020-07-20,660.000000,705.000000,650.000000,685.000000,643.038574,607815400
2020-07-27,695.000000,755.000000,690.000000,730.000000,685.281982,532589800
2020-08-03,740.000000,865.000000,680.000000,840.000000,788.543640,1047600100
2020-08-10,840.000000,840.000000,750.000000,785.000000,736.912842,731576300
2020-08-17,785.000000,820.000000,785.000000,795.000000,746.300232,266945200
2020-08-24,805.000000,830.000000,775.000000,820.000000,769.768799,623643800
2020-08-31,830.000000,855.000000,800.000000,825.000000,774.462524,677167400
2020-09-07,825.000000,840.000000,700.000000,775.000000,727.525391,441637100
2020-09-14,780.000000,820.000000,765.000000,790.000000,741.606506,235788000
2020-09-21,785.000000,790.000000,705.000000,730.000000,685.281982,295032100
2020-09-28,730.000000,740.000000,695.000000,725.000000,680.588257,214037100
2020-10-05,735.000000,775.000000,710.000000,765.000000,718.138000,286318200
2020-10-12,780.000000,1180.000000,760.000000,940.000000,882.417908,3421868600
2020-10-19,970.000000,1145.000000,950.000000,1085.000000,1018.535583,4175701200
2020-10-26,1090.000000,1095.000000,1050.000000,1055.000000,990.373291,517024200
2020-11-02,1065.000000,1145.000000,1055.000000,1125.000000,1056.085205,1741624100
2020-11-09,1140.000000,1255.000000,1135.000000,1170.000000,1098.328613,2453024600
2020-11-16,1200.000000,1280.000000,1175.000000,1210.000000,1135.878296,1874969200
2020-11-23,1225.000000,1255.000000,1195.000000,1230.000000,1154.653076,1481892600
2020-11-30,1225.000000,1300.000000,1105.000000,1245.000000,1168.734375,2260828400
2020-12-07,1270.000000,1500.000000,1260.000000,1450.000000,1361.176514,1919718700
2020-12-14,1500.000000,1960.000000,1490.000000,1950.000000,1830.547729,3780248300
2020-12-21,1965.000000,2020.000000,1720.000000,1790.000000,1680.348999,1965253400
2020-12-28,1825.000000,2070.000000,1780.000000,1935.000000,1816.466553,2267873400
2021-01-04,1970.000000,2750.000000,1940.000000,2600.000000,2440.730469,5843709800
2021-01-11,2560.000000,3440.000000,2530.000000,3120.000000,2928.876465,5364297500
2021-01-18,3000.000000,3340.000000,2530.000000,2880.000000,2703.578369,5442974100
2021-01-25,2760.000000,2960.000000,2220.000000,2220.000000,2084.008057,4533351500
